Rainfall,Drought,TreeCond,PesticideUse,PesticideInRiver,RiverFlow,FishAbundance
Average,Yes,Damaged,High,Low,Poor,Low
Average,Yes,Dead,High,High,Poor,Low
Average,Yes,Good,High,Low,Poor,Low
Average,No,Good,High,High,Good,High
Average,No,Good,High,Low,Poor,Low
Average,No,Good,High,Low,Good,High
Average,No,Damaged,High,Low,Good,High
Average,No,Good,High,High,Good,High
Average,Yes,Dead,High,Low,Poor,Low
Average,No,Dead,High,Low,Poor,Low
Above_average,No,Good,High,High,Good,Medium
Average,Yes,Damaged,High,Low,Poor,Medium
Below_average,No,Damaged,High,High,Good,Low
Average,No,Good,Low,High,Good,Low
Average,No,Good,High,Low,Good,High
Average,No,Good,High,High,Poor,Low
Average,No,Good,High,High,Good,High
Average,No,Good,High,Low,Good,High
Average,Yes,Damaged,High,High,Poor,Low
Average,No,Good,High,Low,Good,High
Average,No,Good,High,Low,Poor,Low
Below_average,No,Good,High,Low,Good,High
Average,No,Damaged,High,Low,Good,High
Average,No,Good,High,Low,Good,High
Average,No,Good,High,High,Good,Medium
Average,No,Good,High,High,Good,Medium
Average,No,Damaged,High,High,Good,Low
Average,Yes,Good,High,High,Poor,Low
Average,No,Good,High,Low,Poor,Low
Average,Yes,Damaged,High,Low,Poor,Low
Average,No,Good,High,High,Poor,Low
Average,No,Good,High,Low,Poor,Low
Above_average,No,Damaged,Low,Low,Good,High
Average,No,Damaged,High,High,Poor,Low
Average,No,Damaged,High,High,Poor,Low
Average,Yes,Damaged,High,High,Poor,Low
Average,No,Good,High,Low,Good,High
Average,Yes,Damaged,High,High,Poor,Low
Average,Yes,Good,High,High,Poor,Low
Average,No,Damaged,High,High,Poor,Low
Above_average,Yes,Damaged,High,Low,Good,High
Average,No,Good,High,High,Poor,Low
Above_average,Yes,Good,High,High,Good,Medium
Below_average,Yes,Damaged,High,High,Poor,Low
Average,No,Good,High,High,Poor,Low
Above_average,No,Good,High,High,Good,High
Average,No,Good,High,Low,Good,High
Above_average,No,Damaged,High,High,Good,High
Average,Yes,Damaged,High,High,Poor,Low
Average,Yes,Damaged,High,High,Good,Medium
Average,No,Good,High,Low,Good,High
Average,No,Good,High,Low,Poor,Medium
Average,No,Good,High,High,Poor,Low
Above_average,No,Good,High,High,Good,Low
Average,No,Good,High,High,Poor,Low
Average,No,Good,High,High,Good,Low
Average,No,Good,High,High,Good,High
Average,Yes,Good,High,Low,Good,High
Above_average,No,Good,Low,Low,Good,High
Average,No,Good,High,High,Poor,Low
Average,Yes,Good,High,High,Poor,Low
Below_average,No,Damaged,Low,Low,Poor,Low
Average,No,Good,High,High,Good,Low
Average,No,Good,High,Low,Good,High
Average,No,Damaged,Low,Low,Good,High
Average,No,Good,High,High,Good,Low
Above_average,No,Good,High,High,Good,Low
Average,No,Good,High,Low,Good,Low
Average,No,Good,Low,Low,Poor,Low
Average,Yes,Good,High,Low,Poor,Low
Average,No,Damaged,High,Low,Good,High
Above_average,No,Good,High,Low,Good,High
Average,Yes,Damaged,High,Low,Good,High
Above_average,No,Good,Low,Low,Good,Low
Below_average,No,Dead,High,High,Poor,Low
Above_average,No,Good,High,High,Good,Medium
Average,No,Good,High,Low,Good,High
Average,No,Good,High,Low,Good,High
Above_average,No,Good,High,High,Good,Medium
Average,No,Good,High,Low,Good,High
Below_average,Yes,Dead,High,High,Poor,Medium
Average,No,Damaged,High,Low,Good,High
Average,No,Good,High,Low,Good,High
Average,No,Good,Low,Low,Good,Low
Average,No,Good,High,Low,Good,High
Below_average,No,Damaged,High,Low,Good,High
Average,No,Good,High,High,Poor,High
Average,Yes,Damaged,High,Low,Good,High
Average,No,Good,High,High,Poor,Low
Average,No,Good,High,High,Poor,Low
Average,No,Damaged,High,Low,Poor,Low
Average,Yes,Dead,High,High,Poor,Low
Average,No,Good,High,Low,Good,High
Below_average,No,Good,High,Low,Poor,Low
Above_average,No,Good,High,Low,Good,High
Average,No,Good,High,High,Good,Medium
Average,Yes,Damaged,High,High,Poor,Low
Average,Yes,Damaged,High,High,Poor,Low
Average,Yes,Good,Low,Low,Poor,High
Above_average,No,Good,High,High,Good,Low
Average,Yes,Damaged,Low,Low,Poor,Low
Average,No,Good,High,High,Good,High
Average,No,Good,High,Low,Good,High
Average,No,Damaged,High,High,Good,High
Average,Yes,Damaged,High,High,Poor,Low
Above_average,No,Good,High,High,Good,High
Average,Yes,Good,High,High,Poor,Low
Average,No,Good,High,High,Poor,Low
Above_average,No,Good,High,Low,Good,High
Below_average,No,Damaged,High,High,Poor,Low
Average,No,Damaged,High,Low,Poor,Low
Average,No,Good,High,Low,Good,High
Average,No,Good,High,High,Good,Low
Average,No,Good,High,High,Poor,Medium
Average,No,Good,High,High,Good,Low
Average,No,Good,High,Low,Poor,Low
Average,No,Dead,High,High,Good,Low
Above_average,No,Good,High,High,Good,High
Average,No,Good,High,High,Poor,Low
Below_average,No,Damaged,High,Low,Good,High
Above_average,No,Good,High,High,Good,Low
Average,No,Good,Low,Low,Good,High
Below_average,No,Damaged,High,High,Good,Low
Above_average,No,Good,High,High,Good,Low
Below_average,No,Good,High,Low,Poor,Low
Average,No,Good,High,High,Good,High
Average,No,Damaged,High,Low,Poor,High
Average,No,Good,High,Low,Good,High
Above_average,No,Good,High,High,Good,Medium
Above_average,No,Good,High,High,Good,Low
Average,No,Damaged,High,High,Poor,Low
Below_average,No,Good,High,Low,Good,High
Average,Yes,Damaged,High,Low,Poor,Medium
Above_average,No,Good,High,High,Good,Medium
Above_average,No,Good,High,High,Good,Low
Average,No,Good,High,High,Poor,Medium
Above_average,No,Good,High,High,Good,Medium
Below_average,No,Good,High,Low,Good,High
Average,No,Good,High,Low,Good,High
Below_average,No,Damaged,High,Low,Poor,Low
Above_average,No,Good,High,Low,Good,High
Above_average,No,Good,High,Low,Good,High
Average,Yes,Damaged,High,High,Poor,Low
Average,No,Good,High,High,Poor,Low
Above_average,No,Good,High,Low,Good,High
Above_average,No,Damaged,High,High,Good,Medium
Above_average,No,Good,High,High,Good,Low
Average,No,Good,Low,Low,Poor,Low
Average,No,Good,Low,Low,Poor,High
Average,Yes,Dead,High,Low,Poor,Medium
Average,No,Good,High,High,Good,Low
Average,No,Damaged,High,High,Poor,Low
Above_average,No,Good,High,High,Good,High
Average,No,Good,High,High,Good,Low
Above_average,No,Good,Low,Low,Good,High
Average,Yes,Good,High,Low,Poor,High
Above_average,No,Good,High,High,Good,Low
Average,No,Good,High,Low,Good,High
Above_average,No,Good,High,Low,Good,High
Average,No,Good,High,High,Good,Low
Average,No,Good,High,High,Good,Low
Average,No,Good,High,Low,Poor,Low
Above_average,No,Good,High,High,Good,Medium
Average,No,Good,High,Low,Poor,Low
Above_average,No,Dead,Low,Low,Good,High
Average,No,Good,Low,High,Good,High
Above_average,No,Good,High,High,Good,Low
Above_average,No,Good,High,High,Good,High
Above_average,No,Good,High,High,Good,Low
Below_average,No,Good,High,Low,Poor,Low
Average,No,Good,High,High,Good,High
Average,No,Good,High,High,Good,Medium
Average,No,Damaged,High,High,Good,Low
Above_average,Yes,Dead,High,High,Good,Low
Below_average,Yes,Damaged,High,Low,Good,High
Below_average,No,Dead,High,Low,Poor,Low
Average,No,Good,High,High,Poor,Low
Average,No,Damaged,High,Low,Poor,High
Below_average,Yes,Good,High,High,Poor,Low
Above_average,No,Good,Low,Low,Good,High
Average,Yes,Damaged,High,Low,Poor,Low
Average,No,Damaged,High,Low,Good,High
Average,Yes,Damaged,High,Low,Poor,Low
Average,No,Good,High,Low,Good,High
Average,Yes,Damaged,High,Low,Good,Medium
Above_average,Yes,Damaged,Low,Low,Good,High
Average,Yes,Dead,High,High,Good,Medium
Below_average,No,Good,High,Low,Poor,Low
Average,No,Good,Low,Low,Poor,Low
Average,No,Good,High,High,Good,Medium
Average,No,Good,High,Low,Good,High
Above_average,No,Good,High,High,Good,Low
Above_average,No,Good,High,Low,Good,High
Average,No,Good,High,High,Good,Medium
Average,No,Good,High,High,Poor,Low
Below_average,Yes,Damaged,High,Low,Poor,Low
Below_average,No,Good,High,Low,Poor,Low
Average,Yes,Good,High,Low,Poor,Low
Average,No,Good,High,High,Poor,Low
Above_average,No,Good,High,High,Good,Medium
Average,No,Good,High,High,Good,Low
Average,Yes,Damaged,High,Low,Poor,Low
Average,No,Damaged,High,Low,Poor,Low
Above_average,No,Good,High,Low,Good,High
Above_average,Yes,Damaged,Low,Low,Poor,Low
Below_average,No,Good,High,High,Poor,Low
Average,No,Damaged,High,High,Poor,Low
Average,Yes,Good,High,High,Poor,Low
Average,No,Damaged,High,High,Good,Low
Average,No,Good,High,High,Good,Medium
Average,Yes,Damaged,High,High,Poor,Low
Above_average,Yes,Good,High,Low,Good,High
Above_average,No,Good,High,High,Good,Medium
Average,Yes,Damaged,High,Low,Poor,Low
Above_average,No,Good,High,High,Good,High
Above_average,No,Good,High,High,Good,Low
Average,No,Good,High,Low,Poor,Medium
Average,No,Good,High,High,Good,Medium
Average,Yes,Dead,High,Low,Poor,Low
Average,Yes,Damaged,High,High,Poor,Low
Average,No,Good,High,High,Poor,Low
Average,No,Damaged,High,Low,Good,High
Average,No,Good,High,High,Poor,Low
Average,No,Good,High,Low,Poor,Medium
Above_average,No,Good,High,High,Good,High
Average,No,Good,High,Low,Poor,Medium
Average,No,Good,Low,Low,Good,Low
Average,No,Good,High,Low,Good,High
Average,Yes,Good,High,High,Poor,Medium
Average,No,Good,High,Low,Poor,Low
Average,No,Good,Low,Low,Poor,Medium
Above_average,No,Dead,High,High,Good,Medium
Average,No,Damaged,High,Low,Poor,Low
Average,No,Damaged,Low,Low,Good,Medium
Average,No,Good,High,Low,Good,High
Above_average,Yes,Damaged,High,High,Poor,Low
Above_average,Yes,Damaged,High,High,Good,Low
Above_average,No,Good,Low,High,Good,Medium
Below_average,No,Dead,High,High,Good,Low
Average,No,Good,Low,Low,Good,High
Above_average,No,Damaged,High,High,Good,High
Below_average,Yes,Damaged,High,High,Poor,Low
Above_average,No,Good,High,High,Good,High
Average,No,Good,High,Low,Poor,Low
Below_average,Yes,Dead,High,High,Poor,Low
Above_average,No,Good,High,High,Good,Medium
Average,Yes,Damaged,Low,High,Poor,Low
Average,Yes,Good,High,High,Poor,Low
Below_average,Yes,Damaged,High,Low,Poor,Low
Average,No,Good,High,High,Good,Medium
Above_average,No,Good,High,Low,Good,Low
Below_average,No,Good,High,High,Poor,Low
Average,No,Good,High,Low,Good,Medium
Average,Yes,Damaged,High,High,Poor,Low
Average,No,Good,High,High,Poor,Low
Below_average,Yes,Damaged,High,High,Poor,Low
Average,No,Good,High,High,Good,Medium
Average,Yes,Damaged,High,Low,Poor,Low
Average,No,Damaged,High,High,Good,Medium
Average,No,Good,High,High,Good,Low
Average,No,Good,High,High,Good,Low
Above_average,No,Good,High,High,Good,Medium
Below_average,Yes,Damaged,Low,Low,Poor,Medium
Above_average,No,Good,High,High,Good,Low
Average,No,Good,High,High,Good,Medium
Average,Yes,Damaged,High,High,Good,Low
Below_average,No,Good,High,High,Poor,Low
Average,No,Good,High,High,Poor,Low
Average,Yes,Damaged,High,Low,Poor,Low
Average,No,Good,High,Low,Good,High
Average,No,Good,High,Low,Good,Medium
Average,Yes,Damaged,High,Low,Poor,Medium
Average,No,Good,High,High,Good,Medium
Average,Yes,Damaged,Low,Low,Poor,Low
Average,No,Good,High,High,Poor,Low
Average,No,Damaged,High,High,Poor,Low
Average,No,Good,Low,Low,Good,High
Below_average,Yes,Dead,High,Low,Poor,Medium
Average,No,Good,High,High,Good,High
Above_average,Yes,Damaged,High,High,Good,Low
Average,No,Good,High,High,Poor,Low
Above_average,No,Good,High,High,Good,Medium
Average,Yes,Damaged,High,High,Poor,Low
Average,Yes,Good,High,High,Poor,Low
Above_average,No,Damaged,Low,Low,Good,High
Average,No,Good,High,High,Poor,Low
Average,Yes,Good,High,Low,Poor,Medium
Average,No,Good,High,High,Good,Low
Average,No,Good,High,High,Good,Low
Below_average,No,Damaged,High,Low,Poor,Low
Average,Yes,Good,High,High,Poor,Medium
Above_average,No,Good,High,High,Good,High
Average,No,Good,Low,Low,Poor,Low
Average,No,Good,Low,Low,Poor,Low
Average,No,Damaged,High,High,Poor,Low
Average,No,Good,High,Low,Good,High
Above_average,No,Damaged,High,High,Good,Medium
Average,Yes,Damaged,Low,High,Poor,Low
Above_average,No,Good,Low,Low,Good,High
Below_average,No,Good,High,High,Poor,Low
Above_average,No,Damaged,High,High,Good,Medium
Average,No,Good,High,High,Good,Medium
Average,No,Good,High,High,Good,Medium
Average,No,Damaged,High,High,Good,Low
Above_average,Yes,Damaged,High,High,Good,Low
Above_average,No,Good,High,High,Good,Low
Above_average,No,Good,High,High,Good,Medium
Average,No,Good,High,High,Good,Low
Above_average,No,Good,High,High,Good,Low
Average,No,Damaged,High,Low,Poor,Low
Average,No,Damaged,High,Low,Good,High
Average,No,Damaged,High,Low,Good,High
Below_average,No,Good,High,Low,Good,High
Average,No,Damaged,Low,Low,Good,Medium
Above_average,No,Good,High,Low,Good,High
Average,No,Damaged,High,High,Good,Low
Average,No,Good,Low,Low,Good,High
Average,No,Good,High,High,Poor,Low
Above_average,No,Good,High,High,Good,Low
Average,Yes,Damaged,High,High,Poor,Low
Below_average,Yes,Damaged,High,Low,Poor,Low
Average,No,Good,High,High,Good,Low
Average,Yes,Damaged,High,Low,Poor,Low
Average,No,Damaged,High,Low,Poor,Low
